,FlightDate,Carrier,Origin,Dest,Distance,DistanceGroup
11014,2017-09-28,UA,IAD,SFO,2419.0,10
18050,2017-09-30,AA,CLT,PVD,683.0,3
5256,2017-09-24,UA,ORD,PHL,678.0,3
517,2017-09-15,WN,DEN,MSP,680.0,3
11694,2017-09-16,OO,ICT,SEA,1430.0,6
15915,2017-09-14,B6,LGB,PDX,846.0,4
13886,2017-09-14,AS,ANC,SCC,627.0,3
12641,2017-09-19,OO,MSP,DLH,144.0,1
18105,2017-09-24,OO,LAX,SBP,156.0,1
374,2017-09-08,AS,SEA,LAX,954.0,4
12440,2017-09-15,OO,PHX,DRO,353.0,2
10928,2017-09-25,DL,JFK,MCO,944.0,4
5775,2017-09-20,AS,LAX,PDX,834.0,4
18175,2017-09-16,AA,DFW,SAN,1171.0,5
17877,2017-09-11,NK,MYR,LBE,455.0,2
15316,2017-09-28,EV,GSO,LGA,461.0,2
8858,2017-09-25,AA,DCA,DFW,1192.0,5
4228,2017-09-21,VX,LAX,EWR,2454.0,10
14964,2017-09-12,EV,ORD,FNT,223.0,1
3191,2017-09-13,WN,BUR,SFO,326.0,2
7779,2017-09-04,AS,FAI,SEA,1533.0,7
10777,2017-09-04,OO,ICT,MSP,545.0,3
14783,2017-09-04,WN,LAS,LAX,236.0,1
10346,2017-09-26,VX,LAX,HNL,2556.0,11
19838,2017-09-17,AA,DSM,DFW,624.0,3
18557,2017-09-06,WN,BWI,RDU,255.0,2
6341,2017-09-25,WN,LAS,SNA,226.0,1
10822,2017-09-18,DL,ATL,DAY,432.0,2
3176,2017-09-27,DL,MHT,ATL,952.0,4
3699,2017-09-08,WN,SAN,SJC,417.0,2
6949,2017-09-06,DL,ATL,CRW,363.0,2
9595,2017-09-28,VX,PHL,SFO,2521.0,11
4053,2017-09-20,DL,SLC,JFK,1990.0,8
19729,2017-09-29,B6,EWR,SJU,1608.0,7
840,2017-09-17,EV,DFW,SHV,190.0,1
17563,2017-09-18,WN,DAL,LAS,1067.0,5
8443,2017-09-06,AA,LGA,BOS,184.0,1
10075,2017-09-25,VX,HNL,SFO,2398.0,10
11018,2017-09-01,WN,ATL,HOU,696.0,3
9686,2017-09-11,WN,ONT,PHX,325.0,2
6336,2017-09-15,AA,BWI,CLT,361.0,2
3729,2017-09-13,UA,DCA,ORD,612.0,3
14717,2017-09-07,DL,BIL,MSP,748.0,3
4294,2017-09-02,AA,RSW,DFW,1017.0,5
6229,2017-09-10,DL,PBI,ATL,545.0,3
9730,2017-09-30,EV,CAK,EWR,382.0,2
7576,2017-09-21,OO,SMF,SEA,605.0,3
16193,2017-09-17,WN,LAX,OAK,337.0,2
9386,2017-09-11,WN,MCO,SAN,2149.0,9
3772,2017-09-01,WN,MDW,ATL,591.0,3
14952,2017-09-21,AA,MIA,ORD,1197.0,5
825,2017-09-01,AA,DFW,MCO,985.0,4
6855,2017-09-04,HA,OGG,HNL,100.0,1
3013,2017-09-17,WN,SFO,DEN,967.0,4
10015,2017-09-15,AA,DFW,CLT,936.0,4
12237,2017-09-28,HA,HNL,ITO,216.0,1
19751,2017-09-10,DL,ATL,MDW,591.0,3
18071,2017-09-06,EV,ATL,BTR,448.0,2
8423,2017-09-16,WN,LAS,ICT,986.0,4
12528,2017-09-16,HA,LAX,HNL,2556.0,11
10662,2017-09-25,VX,LAX,SFO,337.0,2
18125,2017-09-27,B6,BOS,MCO,1121.0,5
9457,2017-09-28,DL,MKE,MSP,297.0,2
545,2017-09-20,AA,LAS,DFW,1055.0,5
5250,2017-09-13,WN,BNA,LAX,1797.0,8
7598,2017-09-01,WN,DAL,OKC,181.0,1
15845,2017-09-07,DL,SAT,ATL,874.0,4
19532,2017-09-11,WN,MDW,HOU,937.0,4
8662,2017-09-21,F9,IAH,DEN,862.0,4
15471,2017-09-16,B6,CHS,FLL,470.0,2
17100,2017-09-14,AA,BNA,DFW,631.0,3
17686,2017-09-05,UA,IAH,SNA,1346.0,6
15794,2017-09-13,DL,MCO,MIA,192.0,1
13222,2017-09-01,OO,CLE,DTW,95.0,1
17383,2017-09-23,UA,DEN,KOA,3329.0,11
19891,2017-09-08,WN,DCA,TPA,814.0,4
16130,2017-09-08,AA,SFO,ORD,1846.0,8
4903,2017-09-28,B6,SJU,STT,68.0,1
5760,2017-09-17,B6,JFK,SYR,209.0,1
18411,2017-09-28,B6,JFK,LAX,2475.0,10
16695,2017-09-08,B6,LAS,BOS,2381.0,10
9012,2017-09-05,EV,ATL,AGS,143.0,1
19822,2017-09-04,WN,ROC,BWI,277.0,2
16160,2017-09-20,OO,ORD,BHM,584.0,3
11210,2017-09-16,B6,LGB,LAS,231.0,1
5359,2017-09-21,AA,DCA,ORD,612.0,3
18339,2017-09-09,DL,AUS,ATL,813.0,4
13448,2017-09-28,AA,ORF,ORD,717.0,3
4288,2017-09-20,F9,DEN,LAS,628.0,3
16659,2017-09-01,DL,MSP,MCI,393.0,2
2355,2017-09-08,WN,DAL,ELP,562.0,3
13821,2017-09-11,UA,PHL,ORD,678.0,3
10998,2017-09-15,DL,ATL,BUF,712.0,3
5635,2017-09-16,AA,OKC,DFW,175.0,1
15602,2017-09-18,WN,HOU,DCA,1218.0,5
18472,2017-09-27,AS,SEA,SFO,679.0,3
7967,2017-09-15,DL,LAX,SLC,590.0,3
16112,2017-09-29,OO,ATW,ORD,160.0,1
3582,2017-09-12,WN,LAX,SLC,590.0,3
11507,2017-09-07,DL,DTW,MSP,528.0,3
5198,2017-09-08,OO,ABQ,PHX,328.0,2
6547,2017-09-07,UA,CLE,DEN,1201.0,5
645,2017-09-30,OO,DEN,LAX,862.0,4
17492,2017-09-13,AA,PHL,DFW,1303.0,6
14353,2017-09-26,DL,LGA,MCO,950.0,4
2082,2017-09-29,AA,LGA,BOS,184.0,1
12973,2017-09-19,DL,ATL,MCO,404.0,2
3252,2017-09-11,UA,EWR,IAH,1400.0,6
8031,2017-09-06,AS,AUS,SEA,1770.0,8
18236,2017-09-29,WN,BOS,MDW,861.0,4
12910,2017-09-06,B6,RSW,EWR,1068.0,5
2574,2017-09-26,WN,BNA,MSY,471.0,2
2822,2017-09-14,WN,MSY,DAL,436.0,2
1569,2017-09-06,UA,PIT,IAH,1117.0,5
15871,2017-09-01,UA,PHX,DEN,602.0,3
12997,2017-09-06,B6,BOS,JFK,187.0,1
13121,2017-09-13,WN,ISP,TPA,1034.0,5
18690,2017-09-06,DL,ATL,SFO,2139.0,9
3891,2017-09-21,WN,MDW,PIT,402.0,2
7534,2017-09-09,UA,DEN,ATL,1199.0,5
14306,2017-09-29,EV,LGA,TYS,648.0,3
14980,2017-09-27,B6,SFO,FLL,2584.0,11
6491,2017-09-14,UA,IAD,LAS,2065.0,9
9014,2017-09-01,HA,HNL,OGG,100.0,1
6375,2017-09-12,AA,LAS,DFW,1055.0,5
3598,2017-09-21,OO,CLT,ORD,599.0,3
18446,2017-09-12,OO,DEN,RKS,260.0,2
7589,2017-09-13,HA,HNL,SFO,2398.0,10
18920,2017-09-12,DL,ATL,PIT,526.0,3
3861,2017-09-11,AS,JNU,SIT,95.0,1
5160,2017-09-30,WN,BUR,LAS,223.0,1
19779,2017-09-20,DL,DSM,ATL,743.0,3
14906,2017-09-26,AA,STL,MIA,1068.0,5
19702,2017-09-06,DL,AUS,ATL,813.0,4
12710,2017-09-29,DL,MSP,SFO,1589.0,7
12909,2017-09-09,UA,ATL,EWR,746.0,3
10456,2017-09-08,OO,AGS,ATL,143.0,1
10398,2017-09-28,UA,ORD,BDL,783.0,4
15912,2017-09-28,UA,BDL,EWR,116.0,1
15814,2017-09-09,WN,STL,BOS,1047.0,5
17302,2017-09-22,WN,MCI,DAL,460.0,2
19037,2017-09-11,EV,ATL,CHA,106.0,1
5020,2017-09-12,WN,LAS,SJC,386.0,2
1570,2017-09-20,WN,PHX,SEA,1107.0,5
9231,2017-09-03,AS,BWI,SAN,2295.0,10
10932,2017-09-06,WN,MDW,SAN,1728.0,7
