Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Marketing Airline,Operating Airline,Marketing Airline Name,Operating Airline Name,Code Share,Fleet,Manufacturer,Flight No,Effective Date,Discontinued Date,Departure Time,Arrival Time,Duration,Departure Terminal,Arrival Terminal,Restricted Code,Frequency,Schedule Type,DepCount,Operating Airline   Capacity,Operating Airline   ASM(Nautical)(Millions),Distance
DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,NORTH AMERICA,PVG,PUDONG INTERNATIONAL AIRPORT,SHANGHAI,CHINA,FAR EAST ASIA,KL,NW,KLM Royal Dutch Airlines,NORTHWEST AIRLINES INC.,YES,747,BOEING,6089,20001102,20001130,15:40,19:40,900,M,,A, ---4-6- ,AIR,2,,,6203.0
PEK,CAPITAL INTERNATIONAL AIRPORT,BEIJING,CHINA,FAR EAST ASIA,DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,NORTH AMERICA,CA,NW,Air China Limited,NORTHWEST AIRLINES INC.,YES,744,BOEING,981,20001101,20001130,10:00,9:50,770,,I, , -2-45-7 ,AIR,4,,,5756.0
PEK,CAPITAL INTERNATIONAL AIRPORT,BEIJING,CHINA,FAR EAST ASIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,NW,CA,NORTHWEST AIRLINES INC.,Air China Limited,YES,744,BOEING,5983,20001104,20001130,15:50,11:50,720,,2, , -----6- ,AIR,1,,,5423.0
YVR,VANCOUVER INTERNATIONAL AIRPORT,VANCOUVER,CANADA,NORTH AMERICA,TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,CP,BR,Compass Airlines LLC,EVA Airways Corporation,YES,747,BOEING,6099,20001101,20001130,1:00,5:45,765,M,2, , -2-4-6- ,AIR,3,,,5186.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,GIG,GALEAO- A.C. JOBIM INTL AIRPORT,RIO DE JANEIRO,BRAZIL,SOUTH AMERICA,RG,LH,Rotana Jet Aviation dba Rotana Jet,Deutsche Lufthansa AG,YES,343,AIRBUS,7771,20001101,20001130,22:05,7:10,725,1,2, , -2-4-6- ,AIR,3,,,5205.0
DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,NORTH AMERICA,PEK,CAPITAL INTERNATIONAL AIRPORT,BEIJING,CHINA,FAR EAST ASIA,KL,NW,KLM Royal Dutch Airlines,NORTHWEST AIRLINES INC.,YES,747,BOEING,6087,20001101,20001130,15:40,18:40,840,M,,A, -23-5-7 ,AIR,4,,,5756.0
DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,NORTH AMERICA,NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,KL,NW,KLM Royal Dutch Airlines,NORTHWEST AIRLINES INC.,YES,747,BOEING,6011,20001101,20001130,12:45,16:10,805,M,1,A,1234567,AIR,7,,,5550.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,LH,SQ,Deutsche Lufthansa AG,Singapore Airlines Limited,YES,747,BOEING,6372,20001101,20001130,12:00,6:50,710,1,2, ,1234567,AIR,7,,,5566.0
MEL,MELBOURNE AIRPORT,MELBOURNE,AUSTRALIA,AUSTRALIA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,NZ,UA,Air New Zealand Limited,"United Airlines, Inc.",YES,744,BOEING,9008,20001101,20001130,11:40,6:50,850,M,7, ,1234567,AIR,7,,,6912.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,EZE,MINISTRO PISTARINI AIRPORT,BUENOS AIRES,ARGENTINA,SOUTH AMERICA,OS,LH,Austrian Airlines AG dba Austrian,Deutsche Lufthansa AG,YES,744,BOEING,7443,20001101,20001130,22:25,8:10,825,1,,A,1234567,AIR,7,,,6252.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,EZE,MINISTRO PISTARINI AIRPORT,BUENOS AIRES,ARGENTINA,SOUTH AMERICA,SK,LH,Scandinavian Airlines System,Deutsche Lufthansa AG,YES,744,BOEING,3209,20001101,20001130,22:25,8:10,825,1,,Y,1234567,AIR,7,,,6252.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,GRU,GUARULHOS INTERNATIONAL AIRPORT,SAO PAULO,BRAZIL,SOUTH AMERICA,RG,LH,Rotana Jet Aviation dba Rotana Jet,Deutsche Lufthansa AG,YES,343,AIRBUS,7773,20001101,20001130,22:35,8:00,745,1,2, ,1234567,AIR,7,,,5323.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,NZ,LH,Air New Zealand Limited,Deutsche Lufthansa AG,YES,744,BOEING,4556,20001101,20001130,10:15,12:55,700,1,6,Q, 1234--7 ,AIR,5,,,5046.0
DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,NORTH AMERICA,PEK,CAPITAL INTERNATIONAL AIRPORT,BEIJING,CHINA,FAR EAST ASIA,CA,NW,Air China Limited,NORTHWEST AIRLINES INC.,YES,744,BOEING,982,20001101,20001130,15:40,18:40,840,M,, , -23-5-7 ,AIR,4,,,5756.0
KIX,KANSAI INTERNATIONAL AIRPORT,OSAKA,JAPAN,FAR EAST ASIA,FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,NH,LH,All Nippon Airways Co. Ltd.,Deutsche Lufthansa AG,YES,744,BOEING,6005,20001103,20001130,10:35,14:35,720,,1, , 1---5-7 ,AIR,3,,,5014.0
KIX,KANSAI INTERNATIONAL AIRPORT,OSAKA,JAPAN,FAR EAST ASIA,ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,AA,JL,American Airlines,"Japan Airlines Co., Ltd.",YES,744,BOEING,7240,20001101,20001130,11:30,8:10,700,,5, , 1-34--- ,AIR,3,,,5646.0
KIX,KANSAI INTERNATIONAL AIRPORT,OSAKA,JAPAN,FAR EAST ASIA,CDG,CHARLES DE GAULLE AIRPORT,PARIS,FRANCE,WESTERN EUROPE,AF,JL,Air France,"Japan Airlines Co., Ltd.",YES,744,BOEING,293,20001101,20001130,11:40,16:25,765,,2F, , -23-56- ,AIR,4,,,5207.0
ZRH,ZURICH AIRPORT,ZURICH,SWITZERLAND,WESTERN EUROPE,KUL,KUALA LUMPUR INTERNATIONAL AIRPORT,KUALA LUMPUR,MALAYSIA,SOUTHEAST ASIA,SR,MH,SundAir Gmbh,Malaysia Airlines Berhad,YES,772,BOEING,9650,20001101,20001130,13:45,7:55,670,A,, , --345-7 ,AIR,4,,,5421.0
DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,DALLAS FORT WORTH,UNITED STATES,NORTH AMERICA,NRT,NARITA INTERNATIONAL,TOKYO,JAPAN,FAR EAST ASIA,AA,JL,American Airlines,"Japan Airlines Co., Ltd.",YES,M11,MCDONNELL-DOUGLAS,7205,20001101,20001130,12:00,16:40,820,B,2, , 123--6- ,AIR,4,,,5574.0
SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,AMS,SCHIPHOL AIRPORT,AMSTERDAM,NETHERLANDS,WESTERN EUROPE,NZ,SQ,Air New Zealand Limited,Singapore Airlines Limited,YES,744,BOEING,4328,20001101,20001130,23:40,6:20,820,2,,A, 1-3-5-- ,AIR,3,,,5690.0
